"rk","player","pos","age","tm","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","x","o_rtg","d_rtg"
"1","Precious Achiuwa","PF","21","MIA","49","2","604","8.5","15.2",".559","0.0","0.0","","8.5","15.2",".559","4.1","8.1",".505","5.1","9.2","14.2","2.0","1.3","2.0","3.1","6.2","21.1",NA,"107","107"
"2","Jaylen Adams","PG","24","MIL","7","0","18","2.6","20.9",".125","0.0","5.2",".000","2.6","15.7",".167","0.0","0.0","","0.0","7.9","7.9","5.2","0.0","0.0","0.0","2.6","5.2",NA,"46","116"
"3","Steven Adams","C","27","NOP","48","48","1341","6.0","9.6",".618","0.0","0.1",".000","6.0","9.5",".625","1.8","4.2",".435","6.8","8.4","15.2","3.3","1.7","1.2","2.6","3.6","13.7",NA,"121","114"
"4","Bam Adebayo","C","23","MIA","46","46","1541","10.7","18.9",".563","0.1","0.3",".250","10.6","18.7",".567","6.8","8.3",".819","3.5","10.6","14.1","8.0","1.3","1.7","3.9","3.3","28.2",NA,"122","107"
"5","LaMarcus Aldridge","C","35","TOT","25","22","652","10.0","21.4",".469","2.3","5.9",".388","7.7","15.5",".500","2.9","3.3",".867","1.3","7.2","8.5","3.5","0.8","1.9","1.9","3.3","25.3",NA,"109","113"
"5","LaMarcus Aldridge","C","35","SAS","21","18","544","10.2","22.1",".464","2.4","6.7",".360","7.8","15.4",".509","2.8","3.3",".838","1.5","6.9","8.4","3.2","0.7","1.6","1.8","3.2","25.7",NA,"107","113"
"5","LaMarcus Aldridge","F-C","35","BRK","4","4","108","8.9","17.9",".500","1.8","2.2",".800","7.2","15.6",".457","3.6","3.6","1.000","0.4","8.9","9.4","4.9","1.3","3.6","2.2","3.6","23.2",NA,"117","109"
"6","Ty-Shon Alexander","SG","22","PHO","6","0","16","3.1","18.5",".167","3.1","12.3",".250","0.0","6.2",".000","3.1","6.2",".500","0.0","6.2","6.2","3.1","0.0","0.0","0.0","3.1","12.3",NA,"72","115"
"7","Nickeil Alexander-Walker","SG","22","NOP","41","10","851","9.0","21.5",".418","3.7","10.6",".348","5.3","10.9",".487","2.2","3.0",".750","0.6","6.6","7.2","4.6","2.3","1.2","3.2","4.4","23.9",NA,"102","114"
"8","Grayson Allen","SG","25","MEM","37","25","912","6.7","15.8",".425","4.1","10.4",".399","2.6","5.4",".476","3.0","3.3",".906","0.8","5.3","6.1","4.2","1.9","0.4","1.8","2.8","20.6",NA,"118","112"
"9","Jarrett Allen","C","22","TOT","44","26","1262","8.1","12.8",".633","0.2","0.5",".417","7.9","12.4",".642","5.9","8.4",".704","5.2","11.7","16.9","2.9","0.8","2.9","2.5","2.7","22.3",NA,"130","110"
"9","Jarrett Allen","C","22","BRK","12","5","320","6.6","9.8",".677","0.0","0.0","","6.6","9.8",".677","6.9","9.2",".754","5.7","13.1","18.9","3.0","1.1","2.9","3.3","3.2","20.2",NA,"135","109"
"9","Jarrett Allen","C","22","CLE","32","21","942","8.6","13.9",".623","0.3","0.6",".417","8.4","13.2",".632","5.5","8.1",".684","5.0","11.2","16.3","2.8","0.7","2.9","2.2","2.6","23.1",NA,"129","110"
"10","Al-Farouq Aminu","PF","30","TOT","18","14","379","4.6","11.6",".400","0.9","4.1",".219","3.7","7.5",".500","2.1","2.4",".842","2.6","9.8","12.3","3.7","2.2","1.2","3.5","3.1","12.2",NA,"92","110"
"10","Al-Farouq Aminu","PF","30","ORL","17","14","367","4.8","11.8",".404","0.9","4.1",".226","3.9","7.7",".500","1.9","2.3",".824","2.7","9.4","12.1","3.9","2.3","1.2","3.3","2.9","12.3",NA,"93","110"
"10","Al-Farouq Aminu","PF","30","CHI","1","0","12","0.0","4.0",".000","0.0","4.0",".000","0.0","0.0","","8.0","8.0","1.000","0.0","20.0","20.0","0.0","0.0","0.0","8.0","8.0","8.0",NA,"53","110"
"11","Kyle Anderson","PF","27","MEM","48","48","1308","8.1","16.9",".476","2.4","6.6",".368","5.6","10.3",".546","3.5","4.6",".762","1.2","9.1","10.3","6.1","2.1","1.4","2.3","2.8","22.1",NA,"117","108"
